event_id	year	month	day	level	event
1	860				поход Руси на Константинополь
2	862				«Призвание» Рюрика
3	882				захват Олегом Киева
4	907				поход Олега на Константинополь
5	911				договор Руси с Византией
6	915-945				правление князя Игоря;
7	941, 944				походы Игоря на Константинополь, договор Руси с Византией
8	957				посольство княгини Ольги в Константинополь
9	962-972				правление князя Святослава
10	964-972				походы Святослава
11	988				Крещение Руси
12	1051				избрание митрополитом всея Руси Илариона
13	1072				создание Русской Правды Ярославичей
14	1073-1076				правление князя Святослава
15	1078-1093				правление князя Всеволода
16	1097				Любечский съезд
17	1113-1125				правление Владимира Мономаха
18	1111				крестовый поход князей во главе с Владимиром на половцев
19	1125-1132				Княжение в Киеве Мстислава Великого
20	1125-1157				правление князя Юрия Долгорукого в Суздале
21	1136				изгнание князя Всеволода из Новгорода
22	1147				первое упоминание Москвы
23	1185				Поход Игоря Святославича на половцев
24	1157-1174				правление князя Андрея Боголюбского
25	1177-1212				правление князя Всеволода Большое Гнездо во Владимире
26	1185				Слово о полку Игореве
27	1223				Битва на р. Калке
28	1234-1264				правление князя Даниила в Галиче
29	1237-1241				завоевание Руси Монгольской империей
30	1240				Невская битва
31	1242				Ледовое побоище
32	1242-1243				Образование Золотой Орды
33	1251-1263				правление князя Александра Невского во Владимере
34	1325-1340				княжение Ивана Калиты в Москве
35	1327				Антиордынское восстание в Твери
36	1345				основание Троицкого монастыря
37	1359-1389				Княжение Дмитрия Донского
38	1378				Битва на р. Воже
39	1380				Куликовская битва
40	1382				разорение Москвы Тохтамышем
41	1389-1425				Правление Василия I
42	1395				Разгром Золотой Орды Тимуром
43	1425-1453				Междоусобная война в Московском княжестве
44	1425-1462				правление Василия II
45	1448				Установление автокефалии Русской церкви
46	1462-1595				Княжение Ивана III
47	1478				Присоединение Новгородской земли к Москве
48	1480				«Стояние» на р. Угре
49	1485				Присоединение Тверского великого княжества к Москве
50	1497				Принятие первого общерусского Судебника
51	1500				битва на Ведроши
52	1505-1533				Княжение Василия III
