reason_id,event_id,description
1,164,"патриотический подъем и рост национального самосознания после войны 1812 года и недовольство социально-экономическим положением в России, недовольство самодержавием в целом"
2,230,"нерешенность аграрного, рабочего и национального вопросов, изнурительная война, которая привела к бедности большей части населения, рабочие были недовольны условиями труда"
3,285,"стремление Гитлера к мировому господству и неустранимые противоречия между идеологиями капитаизма и социализма"
4,400,"неопытность и повадность молодого Романова,чем хотели воспользоваться бояре, родственная связь с династией Рюриковичей"
5,176,"отсталость России в промышленности из-за крепостного права, а также возможность крестьянского восстания"
6,135,"усиление произвола помещиков и тяжелое положение работников мануфактур на Урале"
7,69,"пресечение династии Рюриковичей и хозяйственная разруха после опричнины, вмешательство стран-соседей"
8,11,"необходимость усиления княжеской власти и только монотоистическая религия могла объединить племена"
9,401,"несогласованность действий русского командования и техническая отсталость страны по сравнению с соперниками"
10,402,"геополитическое соперничество СССР и НАТО, просьба к СССР вступить в военный конфликт от идейного лидера социалистической партии Афганистана"
11,403,"для чеченцев главными причиными были восстановление в единую страну, объединяющую все народы Кавказа, утверждение независимости Чечни."
12,89,"медь приравняли к серебру, произошла инфляция, росли цены, налоги продолжали собирать серебром, население страны обеднело"
13,81,"резкий рост цен на соль-главный консервант, это могло привести к голоду большей части населения"
