result_id,event_id,description
12,30,победа над Швецией в территориальном споре
13,30,Из союза была выведена Швеция – грозный противник
14,187,Во внутренней политике царского правительства произошло усиление консервативных начал
5,228,изменение режима в стране.
15,228,упадок развития страны во всех областях хозяйства.
16,228,большой процент человеческих жертв
17,228,изменение структуры населения.
9,285,Идеи фашизма были уничтожены
10,285,в Советском союзе укрепилась тоталитарная система
11,285,Освобождение других государств от оккупации.
8,317,распад СССР 
18,403,"Чечня оставалась независимой, но как отдельное государство ее никто не признавал."
19,403,выросло получение доходов криминальным путем
20,404,Абхазия и Южная Осетия частично признанные республики
21,404,Экономики обеих ориентированы на Россию
4,187,"лидеры Народной воли были арестованы, осуждены и казнены. "
2,285,СССР заработали репутацию и авторитет у других государств
3,30,сохранение Новгородом независимости 
1,317,Советский Союз оказался в глубоком экономическом и политическом кризисе
6,403, Многие города и поселения были разрушены. 
7,404,Россия официально признала Абхазию и Южную Осетию.
22,404,Абхазия и Южная Осетия  остаются неблагополучными регионами. 
